# z; xe; Te
2.020261620000000136e+01 2.117157989999999938e-04 9.503288500000000028e+00
2.070765659999999997e+01 2.122884179999999944e-04 9.950539729999999139e+00
2.121269699999999858e+01 2.128544940000000102e-04 1.040743960000000001e+01
2.171773740000000075e+01 2.134142810000000021e-04 1.087394010000000044e+01
2.222277779999999936e+01 2.139680169999999949e-04 1.134999269999999960e+01
2.272781820000000153e+01 2.145159290000000032e-04 1.183554870000000037e+01
2.323285860000000014e+01 2.150582289999999929e-04 1.233055929999999911e+01
2.373789899999999875e+01 2.155951189999999972e-04 1.283497529999999998e+01
2.424293940000000092e+01 2.161267889999999886e-04 1.334874710000000064e+01
2.474797979999999953e+01 2.166534200000000030e-04 1.387182519999999997e+01
2.525302020000000169e+01 2.171751830000000075e-04 1.440415950000000045e+01
2.575806060000000031e+01 2.176922400000000054e-04 1.494570019999999921e+01
2.626310099999999892e+01 2.182047469999999966e-04 1.549639679999999942e+01
2.676814140000000108e+01 2.187128499999999942e-04 1.605619899999999944e+01
2.727318179999999970e+01 2.192166890000000080e-04 1.662505609999999834e+01
2.777822219999999831e+01 2.197163969999999943e-04 1.720291720000000169e+01
2.828326260000000048e+01 2.202121030000000069e-04 1.778973159999999964e+01
2.878830299999999909e+01 2.207039270000000001e-04 1.838544800000000023e+01
2.929334340000000125e+01 2.211919859999999941e-04 1.899001540000000077e+01
2.979838379999999987e+01 2.216763910000000063e-04 1.960338229999999982e+01
3.030342419999999848e+01 2.221572479999999925e-04 2.022549730000000068e+01
3.080846460000000064e+01 2.226346590000000060e-04 2.085630899999999954e+01
3.131350510000000043e+01 2.231087210000000116e-04 2.149576569999999975e+01
3.181854549999999904e+01 2.235795290000000090e-04 2.214381559999999993e+01
3.232358589999999765e+01 2.240471719999999952e-04 2.280040710000000104e+01
3.282862630000000337e+01 2.245117370000000018e-04 2.346548819999999935e+01
3.333366670000000198e+01 2.249733059999999994e-04 2.413900710000000061e+01
3.383870710000000059e+01 2.254319589999999936e-04 2.482091180000000108e+01
3.434374749999999921e+01 2.258877730000000020e-04 2.551115030000000061e+01
3.484878789999999782e+01 2.263408210000000039e-04 2.620967059999999904e+01
3.535382830000000354e+01 2.267911760000000058e-04 2.691642069999999975e+01
3.585886870000000215e+01 2.272389050000000110e-04 2.763134840000000025e+01
3.636390910000000076e+01 2.276840739999999997e-04 2.835440170000000037e+01
3.686894949999999938e+01 2.281267469999999874e-04 2.908552849999999879e+01
3.737398989999999799e+01 2.285669869999999932e-04 2.982467670000000126e+01
3.787903029999999660e+01 2.290048510000000062e-04 3.057179430000000053e+01
3.838407070000000232e+01 2.294403990000000036e-04 3.132682919999999882e+01
3.888911110000000093e+01 2.298736839999999905e-04 3.208972930000000190e+01
3.939415149999999954e+01 2.303047619999999869e-04 3.286044259999999895e+01
3.989919189999999816e+01 2.307336830000000099e-04 3.363891720000000163e+01
4.040423229999999677e+01 2.311604989999999874e-04 3.442510109999999912e+01
4.090927270000000249e+01 2.315852570000000025e-04 3.521894249999999715e+01
4.141431310000000110e+01 2.320080059999999949e-04 3.602038939999999911e+01
4.191935349999999971e+01 2.324287900000000058e-04 3.682939009999999769e+01
4.242439389999999833e+01 2.328476539999999907e-04 3.764589289999999977e+01
4.292943429999999694e+01 2.332646409999999948e-04 3.846984619999999921e+01
4.343447470000000266e+01 2.336797930000000128e-04 3.930119820000000175e+01
4.393951520000000244e+01 2.340931499999999933e-04 4.013989759999999762e+01
4.444455560000000105e+01 2.345047509999999974e-04 4.098589299999999724e+01
4.494959599999999966e+01 2.349146350000000047e-04 4.183913290000000273e+01
4.545463639999999828e+01 2.353228390000000028e-04 4.269956609999999841e+01
4.595967679999999689e+01 2.357293979999999876e-04 4.356714159999999936e+01
4.646471720000000261e+01 2.361343480000000048e-04 4.444180810000000292e+01
4.696975760000000122e+01 2.365377220000000039e-04 4.532351489999999927e+01
4.747479799999999983e+01 2.369395550000000076e-04 4.621221090000000231e+01
4.797983839999999844e+01 2.373398770000000046e-04 4.710784569999999860e+01
4.848487879999999706e+01 2.377387209999999986e-04 4.801036880000000195e+01
4.898991920000000277e+01 2.381361170000000050e-04 4.891972940000000136e+01
4.949495960000000139e+01 2.385320950000000126e-04 4.983587690000000237e+01
5.000000000000000000e+01 2.389266790000000066e-04 5.075877880000000175e+01
5.295295300000000083e+01 2.412050969999999974e-04 5.628709549999999950e+01
5.590590590000000049e+01 2.434376229999999980e-04 6.203412589999999938e+01
5.885885890000000131e+01 2.456290679999999747e-04 6.799014959999999519e+01
6.181181180000000097e+01 2.477836470000000261e-04 7.414564889999999764e+01
6.476476479999999469e+01 2.499050840000000169e-04 8.049132439999999633e+01
6.771771769999999435e+01 2.519966840000000224e-04 8.701810790000000395e+01
7.067067070000000228e+01 2.540614019999999987e-04 9.371717280000000017e+01
7.362362360000000194e+01 2.561018910000000242e-04 1.005799430000000001e+02
7.657657659999999566e+01 2.581205440000000238e-04 1.075980969999999957e+02
7.952952949999999532e+01 2.601195310000000002e-04 1.147635769999999980e+02
8.248248250000000326e+01 2.621008290000000226e-04 1.220685869999999937e+02
8.543543540000000291e+01 2.640662429999999800e-04 1.295055959999999970e+02
8.838838839999999664e+01 2.660174299999999736e-04 1.370673419999999965e+02
9.134134129999999629e+01 2.679559180000000234e-04 1.447468250000000012e+02
9.429429430000000423e+01 2.698831139999999826e-04 1.525373089999999934e+02
9.724724720000000389e+01 2.718003279999999834e-04 1.604323180000000093e+02
1.002001999999999953e+02 2.737087720000000077e-04 1.684256349999999998e+02
1.031531530000000032e+02 2.756095820000000157e-04 1.765112939999999924e+02
1.061061059999999969e+02 2.775038150000000122e-04 1.846835790000000088e+02
1.090590590000000049e+02 2.793924659999999787e-04 1.929370179999999948e+02
1.120120119999999986e+02 2.812764699999999738e-04 2.012663760000000082e+02
1.149649650000000065e+02 2.831567050000000129e-04 2.096666500000000042e+02
1.179179180000000002e+02 2.850340050000000161e-04 2.181330639999999903e+02
1.208708709999999940e+02 2.869091569999999828e-04 2.266610619999999869e+02
1.238238240000000019e+02 2.887829070000000223e-04 2.352463019999999858e+02
1.267767769999999956e+02 2.906559689999999919e-04 2.438846479999999985e+02
1.297297299999999893e+02 2.925290190000000095e-04 2.525721639999999866e+02
1.326826829999999973e+02 2.944027059999999754e-04 2.613051100000000133e+02
1.356356360000000052e+02 2.962776490000000183e-04 2.700799309999999878e+02
1.385885890000000131e+02 2.981544439999999794e-04 2.788932530000000156e+02
1.415415419999999926e+02 3.000336620000000165e-04 2.877418749999999932e+02
1.444944940000000031e+02 3.019158529999999918e-04 2.966227640000000179e+02
1.474474470000000110e+02 3.038015490000000023e-04 3.055330470000000105e+02
1.504003999999999905e+02 3.056912620000000079e-04 3.144700070000000096e+02
1.533533529999999985e+02 3.075854900000000243e-04 3.234310740000000237e+02
1.563063060000000064e+02 3.094847140000000271e-04 3.324138179999999920e+02
1.592592589999999859e+02 3.113894029999999852e-04 3.414159480000000144e+02
1.622122119999999938e+02 3.133000119999999780e-04 3.504353019999999788e+02
1.651651650000000018e+02 3.152169850000000203e-04 3.594698430000000258e+02
1.681181180000000097e+02 3.171407560000000041e-04 3.685176500000000033e+02
1.710710709999999892e+02 3.190717469999999781e-04 3.775769189999999753e+02
1.740240239999999972e+02 3.210103750000000106e-04 3.866459530000000200e+02
1.769769770000000051e+02 3.229570469999999932e-04 3.957231580000000122e+02
1.799299300000000130e+02 3.249121610000000162e-04 4.048070379999999773e+02
1.828828829999999925e+02 3.268761110000000230e-04 4.138961909999999875e+02
1.858358360000000005e+02 3.288492839999999852e-04 4.229893059999999991e+02
1.887887890000000084e+02 3.308320620000000027e-04 4.320851519999999937e+02
1.917417419999999879e+02 3.328248219999999785e-04 4.411825840000000198e+02
1.946946949999999958e+02 3.348279350000000023e-04 4.502805290000000014e+02
1.976476480000000038e+02 3.368417720000000011e-04 4.593779890000000137e+02
2.006006010000000117e+02 3.388666969999999841e-04 4.684740350000000149e+02
2.035535539999999912e+02 3.409030740000000147e-04 4.775678019999999719e+02
2.065065069999999992e+02 3.429512620000000137e-04 4.866584869999999796e+02
2.094594590000000096e+02 3.450116200000000102e-04 4.957453449999999862e+02
2.124124119999999891e+02 3.470845039999999912e-04 5.048276890000000208e+02
2.153653649999999971e+02 3.491702699999999979e-04 5.139048810000000458e+02
2.183183180000000050e+02 3.512692730000000212e-04 5.229763349999999491e+02
2.212712710000000129e+02 3.533818650000000098e-04 5.320415090000000191e+02
2.242242239999999924e+02 3.555084020000000050e-04 5.410999090000000251e+02
2.271771770000000004e+02 3.576492360000000097e-04 5.501510789999999815e+02
2.301301300000000083e+02 3.598047230000000108e-04 5.591946040000000266e+02
2.330830829999999878e+02 3.619752170000000032e-04 5.682301069999999754e+02
2.360360359999999957e+02 3.641610739999999739e-04 5.772572420000000193e+02
2.389889890000000037e+02 3.663626520000000104e-04 5.862757010000000264e+02
2.419419420000000116e+02 3.685803089999999831e-04 5.952852030000000241e+02
2.448948949999999911e+02 3.708144060000000217e-04 6.042854969999999639e+02
2.478478479999999990e+02 3.730653059999999768e-04 6.132763589999999567e+02
2.508008010000000070e+02 3.753333750000000120e-04 6.222575920000000451e+02
2.537537539999999865e+02 3.776189800000000164e-04 6.312290219999999863e+02
2.567067069999999944e+02 3.799224920000000253e-04 6.401904960000000528e+02
2.596596599999999739e+02 3.822442860000000039e-04 6.491418840000000046e+02
2.626126130000000103e+02 3.845847380000000219e-04 6.580830750000000080e+02
2.655655659999999898e+02 3.869442290000000206e-04 6.670139769999999544e+02
2.685185190000000262e+02 3.893231460000000257e-04 6.759345140000000356e+02
2.714714710000000082e+02 3.917218760000000088e-04 6.848446269999999458e+02
2.744244239999999877e+02 3.941408140000000177e-04 6.937442720000000236e+02
2.773773770000000241e+02 3.965803569999999841e-04 7.026334180000000060e+02
2.803303300000000036e+02 3.990409089999999740e-04 7.115120480000000498e+02
2.832832829999999831e+02 4.015228789999999797e-04 7.203801560000000563e+02
2.862362360000000194e+02 4.040266789999999810e-04 7.292377490000000080e+02
2.891891889999999989e+02 4.065527299999999763e-04 7.380848409999999831e+02
2.921421419999999785e+02 4.091014560000000061e-04 7.469214600000000246e+02
2.950950950000000148e+02 4.116732900000000207e-04 7.557476400000000467e+02
2.980480479999999943e+02 4.142686690000000086e-04 7.645634229999999434e+02
3.010010009999999738e+02 4.168880389999999768e-04 7.733688600000000406e+02
3.039539540000000102e+02 4.195318500000000243e-04 7.821640089999999645e+02
3.069069069999999897e+02 4.222005609999999977e-04 7.909489330000000109e+02
3.098598600000000260e+02 4.248946399999999784e-04 7.997237010000000055e+02
3.128128130000000056e+02 4.276145610000000241e-04 8.084883899999999812e+02
3.157657659999999851e+02 4.303608059999999976e-04 8.172430769999999711e+02
3.187187190000000214e+02 4.331338669999999932e-04 8.259878479999999854e+02
3.216716720000000009e+02 4.359342420000000265e-04 8.347227910000000293e+02
3.246246249999999804e+02 4.387624410000000113e-04 8.434479979999999841e+02
3.275775780000000168e+02 4.416189809999999960e-04 8.521635629999999537e+02
3.305305309999999963e+02 4.445043909999999809e-04 8.608695840000000317e+02
3.334834829999999783e+02 4.474192079999999888e-04 8.695661629999999604e+02
3.364364360000000147e+02 4.503639799999999984e-04 8.782534020000000510e+02
3.393893889999999942e+02 4.533392659999999985e-04 8.869314050000000407e+02
3.423423419999999737e+02 4.563456359999999885e-04 8.956002799999999979e+02
3.452952950000000101e+02 4.593836719999999738e-04 9.042601329999999962e+02
3.482482479999999896e+02 4.624539649999999781e-04 9.129110759999999800e+02
3.512012010000000259e+02 4.655571220000000155e-04 9.215532170000000178e+02
3.541541540000000055e+02 4.686937610000000017e-04 9.301866670000000568e+02
3.571071069999999850e+02 4.718645120000000215e-04 9.388115400000000363e+02
3.600600600000000213e+02 4.750700199999999913e-04 9.474279470000000174e+02
3.630130130000000008e+02 4.783109429999999923e-04 9.560359999999999445e+02
3.659659659999999803e+02 4.815879539999999917e-04 9.646358119999999872e+02
3.689189190000000167e+02 4.849017390000000130e-04 9.732274969999999712e+02
3.718718719999999962e+02 4.882530020000000080e-04 9.818111659999999574e+02
3.748248249999999757e+02 4.916424610000000349e-04 9.903869329999999991e+02
3.777777780000000121e+02 4.950708499999999799e-04 9.989549100000000408e+02
3.807307309999999916e+02 4.985389219999999781e-04 1.007515210000000025e+03
3.836836840000000279e+02 5.020474449999999967e-04 1.016067940000000021e+03
3.866366370000000074e+02 5.055972070000000311e-04 1.024613209999999981e+03
3.895895899999999870e+02 5.091890120000000129e-04 1.033151139999999941e+03
3.925425430000000233e+02 5.128236850000000065e-04 1.041681829999999991e+03
3.954954950000000053e+02 5.165020709999999966e-04 1.050205390000000079e+03
3.984484479999999849e+02 5.202250340000000002e-04 1.058721919999999955e+03
4.014014010000000212e+02 5.239934599999999465e-04 1.067231549999999970e+03
4.043543540000000007e+02 5.278082579999999980e-04 1.075734359999999924e+03
4.073073069999999802e+02 5.316703570000000205e-04 1.084230469999999968e+03
4.102602600000000166e+02 5.355807109999999966e-04 1.092719980000000078e+03
4.132132129999999961e+02 5.395402980000000301e-04 1.101202990000000000e+03
4.161661659999999756e+02 5.435501210000000163e-04 1.109679599999999937e+03
4.191191190000000120e+02 5.476112079999999674e-04 1.118149920000000066e+03
4.220720719999999915e+02 5.517246140000000047e-04 1.126614029999999957e+03
4.250250250000000278e+02 5.558914220000000291e-04 1.135072049999999990e+03
4.279779780000000073e+02 5.601127420000000506e-04 1.143524059999999963e+03
4.309309309999999869e+02 5.643897169999999471e-04 1.151970170000000053e+03
4.338838840000000232e+02 5.687235180000000268e-04 1.160410460000000057e+03
4.368368370000000027e+02 5.731153450000000486e-04 1.168845029999999952e+03
4.397897899999999822e+02 5.775664339999999524e-04 1.177273969999999963e+03
4.427427430000000186e+02 5.820780569999999682e-04 1.185697370000000092e+03
4.456956959999999981e+02 5.866515209999999692e-04 1.194115320000000111e+03
4.486486489999999776e+02 5.912881650000000261e-04 1.202527910000000020e+03
4.516016020000000140e+02 5.959893609999999693e-04 1.210935220000000072e+03
4.545545549999999935e+02 6.007565249999999952e-04 1.219337350000000015e+03
4.575075079999999730e+02 6.055911259999999805e-04 1.227734369999999899e+03
4.604604600000000119e+02 6.104946790000000513e-04 1.236126359999999977e+03
4.634134129999999914e+02 6.154687150000000533e-04 1.244513410000000022e+03
4.663663660000000277e+02 6.205147859999999649e-04 1.252895600000000059e+03
4.693193190000000072e+02 6.256345160000000190e-04 1.261273010000000113e+03
4.722722719999999867e+02 6.308296509999999609e-04 1.269645719999999983e+03
4.752252250000000231e+02 6.361019939999999588e-04 1.278013789999999972e+03
4.781781780000000026e+02 6.414532570000000024e-04 1.286377320000000054e+03
4.811311309999999821e+02 6.468851440000000048e-04 1.294736360000000104e+03
4.840840840000000185e+02 6.523997359999999992e-04 1.303091010000000097e+03
4.870370369999999980e+02 6.579988589999999533e-04 1.311441319999999905e+03
4.899899899999999775e+02 6.636853180000000432e-04 1.319787379999999985e+03
4.929429430000000139e+02 6.694611250000000353e-04 1.328129230000000007e+03
4.958958959999999934e+02 6.753264919999999501e-04 1.336466959999999972e+03
4.988488489999999729e+02 6.812856059999999707e-04 1.344800619999999981e+03
5.018018020000000092e+02 6.873394590000000363e-04 1.353130280000000084e+03
5.047547549999999887e+02 6.934910309999999488e-04 1.361456020000000080e+03
5.077077080000000251e+02 6.997427640000000336e-04 1.369777900000000045e+03
5.106606610000000046e+02 7.060971769999999830e-04 1.378095970000000079e+03
5.136136139999999841e+02 7.125568760000000092e-04 1.386410309999999981e+03
5.165665669999999636e+02 7.191245519999999846e-04 1.394720960000000105e+03
5.195195200000000568e+02 7.258029899999999483e-04 1.403027990000000045e+03
5.224724720000000389e+02 7.325950670000000052e-04 1.411331470000000081e+03
5.254254250000000184e+02 7.395037619999999612e-04 1.419631440000000111e+03
