"z","Tad/Tcmb","TkLX1/Tcmb","TkLX2/Tcmb","TkmQ/Tcmb","TkmQ+LX2/Tcmb"
20.212500000000002,0.1575389648739769,0.15998666662817593,0.16014156555534356,0.08341695883820159,0.08601955951956826
20.225,0.1576281661814194,0.16008346105521779,0.16023644628982436,0.08349554707059584,0.08610382717900081
20.2375,0.15771736245058193,0.16018025312633508,0.16033134915841063,0.08357414035925557,0.08618812706708427
20.25,0.157806553685003,0.16027704283100383,0.16042627376471194,0.08365273864850668,0.08627245872821564
20.262500000000003,0.1578957398861231,0.16037383015872497,0.1605212197132701,0.08373134188130188,0.08635682170844888
20.275,0.15798492105330797,0.1604706150990239,0.16061618660955612,0.0838099499977873,0.08644121555403546
20.2875,0.15807409718387225,0.16056739764145092,0.16071117405996785,0.08388856294504897,0.08652563982114457
20.3,0.15816326827310212,0.16066417777558056,0.16080618167182706,0.08396718072309899,0.08661009412182392
20.3125,0.1582524343142784,0.160760955491012,0.1609012090533766,0.08404580333863601,0.0866945780777342
20.325,0.15834159529869918,0.16085773077736867,0.16099625581377808,0.08412443079642061,0.08677909131149951
20.337500000000002,0.1584307512157023,0.16095450344905682,0.16109131592075746,0.0842030630992961,0.08686362780435125
20.349999999999998,0.15851990205268743,0.16105127291937352,0.16118637042745101,0.08428170024820957,0.08694816862297315
20.3625,0.15860904779513854,0.1611480399354163,0.16128144333221484,0.08436034224223267,0.08703273777930896
20.375,0.15869818842664538,0.16124480449176098,0.16137653440419897,0.08443898907858197,0.08711733505613556
20.3875,0.15878732392892547,0.16134156658299642,0.16147164341309334,0.0845176407526394,0.08720196023680726
20.4,0.15887645428184555,0.16143832620372398,0.16156677012912582,0.08459629725797257,0.08728661310525285
20.4125,0.15896557946344295,0.16153508334855754,0.16166191432306096,0.08467495858635471,0.08737129344597272
20.424999999999997,0.15905469944994646,0.16163183801212358,0.1617570757661981,0.08475362472778433,0.08745600104403597
20.4375,0.15914381421579787,0.1617285901890613,0.16185225423037025,0.08483229567050533,0.08754073568507771
20.45,0.15923292373367226,0.16182533987402217,0.16194744948794207,0.08491097140102613,0.08762549715529594
20.4625,0.15932202797449874,0.16192208706167022,0.1620426613118085,0.08498965190413924,0.087710285241449
20.475,0.15941112690748116,0.16201883174668197,0.16213788947539354,0.08506833716294049,0.08779509973085287
20.4875,0.15950022050011775,0.1621155739237461,0.16223313375264803,0.0851470271588478,0.08787994041137807
20.5,0.15958930871822208,0.16221231358756388,0.1623283939180488,0.08522572187162039,0.0879648070714471
20.512500000000003,0.15967839152594213,0.1623090507328488,0.1624236697465967,0.08530442127937729,0.08804969950003186
20.525,0.15976746888578047,0.16240578535432654,0.16251896101381522,0.08538312535861588,0.08813461748665062
20.5375,0.15985654075861389,0.16250251744673533,0.16261426749574917,0.08546183408423047,0.08821956082136576
20.55,0.15994560709849184,0.16259924700482517,0.16270958896896268,0.08554054742953032,0.08830452930000116
20.5625,0.16003466791079254,0.16269597402335859,0.16280492521053821,0.08561926536625786,0.08838952266600353
20.575000000000003,0.1601237232388644,0.16279269849711014,0.16290027599807483,0.0856979878646066,0.08847454062381703
20.587500000000002,0.1602127731238011,0.16288942042086638,0.16299564110968653,0.08577671489323888,0.0885595828791243
20.599999999999998,0.1603018176043622,0.16298613978942605,0.1630910203240011,0.08585544641930351,0.0886446491389424
20.612500000000004,0.16039085671699752,0.16308285659760002,0.16318641342015858,0.08593418240845338,0.08872973911161444
20.625,0.16047989049587097,0.16317957084021079,0.16328182017780923,0.08601292282486242,0.08881485250680068
20.6375,0.16056891897288514,0.16327628251209325,0.16337724037711301,0.08609166763124329,0.08889998903547117
20.650000000000002,0.16065794217770465,0.163372991608094,0.16347267379873728,0.08617041678886407,0.0889851484098967
